horodatage,utilisateur,source_ip,systeme,type_evenement,resultat
2026-03-01 07:02:27,prestataire_ext,10.20.3.203,serveur_bi,connexion_reussie,succes
2026-03-01 07:02:37,prestataire_ext,10.20.12.42,vpn,connexion_echouee,echec
2026-03-01 07:08:13,f.petit,10.20.6.25,scada,connexion_reussie,succes
2026-03-01 07:08:25,a.bernard,10.20.0.33,api_espace_client,connexion_reussie,succes
2026-03-01 07:08:38,admin.sys,10.20.4.230,vpn,connexion_reussie,succes
2026-03-01 07:08:56,c.dubois,10.20.12.44,serveur_bi,connexion_reussie,succes
2026-03-01 07:09:37,f.petit,10.20.6.195,scada,connexion_reussie,succes
2026-03-01 07:09:45,f.petit,10.20.11.222,scada,connexion_reussie,succes
2026-03-01 07:09:52,n.faure,10.20.12.4,api_espace_client,acces_refuse,echec
2026-03-01 07:11:57,j.morel,10.20.6.108,scada,connexion_reussie,succes
2026-03-01 07:14:40,m.roux,10.20.9.2,scada,connexion_echouee,echec
2026-03-01 07:17:20,p.garcia,10.20.10.77,active_directory,connexion_reussie,succes
2026-03-01 07:20:48,s.leroy,10.20.9.69,plateforme_data,connexion_reussie,succes
2026-03-01 07:21:10,j.morel,10.20.7.46,active_directory,connexion_echouee,echec
2026-03-01 07:21:42,s.leroy,10.20.3.118,scada,connexion_reussie,succes
2026-03-01 07:22:35,p.garcia,10.20.5.77,serveur_bi,export_donnees,succes
2026-03-01 07:23:25,t.robin,10.20.3.253,active_directory,connexion_reussie,succes
2026-03-01 07:25:35,prestataire_ext,10.20.12.53,portail_client,connexion_reussie,succes
2026-03-01 07:26:36,j.morel,10.20.2.146,portail_client,connexion_reussie,succes
2026-03-01 07:27:50,t.robin,10.20.1.213,serveur_bi,connexion_reussie,succes
2026-03-01 07:28:33,l.henry,10.20.5.16,active_directory,connexion_reussie,succes
2026-03-01 07:30:14,prestataire_ext,10.20.9.253,vpn,connexion_reussie,succes
2026-03-01 07:31:16,t.robin,10.20.5.103,plateforme_data,connexion_reussie,succes
2026-03-01 07:31:26,p.garcia,10.20.7.2,api_espace_client,connexion_reussie,succes
2026-03-01 07:32:47,a.bernard,10.20.9.251,scada,connexion_reussie,succes
2026-03-01 07:33:29,c.dubois,10.20.4.48,vpn,connexion_reussie,succes
2026-03-01 07:34:07,c.dubois,10.20.9.117,serveur_bi,connexion_reussie,succes
2026-03-01 07:38:45,n.faure,10.20.0.77,active_directory,connexion_reussie,succes
2026-03-01 07:39:10,f.petit,10.20.8.27,scada,connexion_reussie,succes
2026-03-01 07:39:28,t.robin,10.20.2.92,portail_client,connexion_reussie,succes
2026-03-01 07:40:01,admin.sys,10.20.6.39,plateforme_data,connexion_reussie,succes
2026-03-01 07:40:48,prestataire_ext,10.20.0.172,portail_client,connexion_reussie,succes
2026-03-01 07:45:52,f.petit,10.20.12.192,api_espace_client,export_donnees,succes
2026-03-01 07:48:22,c.dubois,10.20.0.152,plateforme_data,connexion_reussie,succes
2026-03-01 07:50:24,f.petit,10.20.5.115,scada,connexion_reussie,succes
2026-03-01 07:52:16,s.leroy,10.20.12.48,plateforme_data,connexion_reussie,succes
2026-03-01 07:52:57,t.robin,10.20.1.136,scada,connexion_reussie,succes
2026-03-01 07:53:23,admin.sys,10.20.2.85,portail_client,connexion_reussie,succes
2026-03-01 07:55:43,n.faure,10.20.2.211,plateforme_data,connexion_reussie,succes
2026-03-01 07:58:00,j.morel,10.20.4.230,vpn,connexion_reussie,succes
2026-03-01 07:59:30,admin.sys,10.20.2.164,scada,connexion_reussie,succes
2026-03-01 08:00:46,m.roux,10.20.5.53,portail_client,connexion_reussie,succes
2026-03-01 08:00:50,m.roux,10.20.9.192,serveur_bi,modification_config,succes
2026-03-01 08:02:58,s.leroy,10.20.10.49,vpn,connexion_reussie,succes
2026-03-01 08:06:44,admin.sys,10.20.7.53,scada,connexion_reussie,succes
2026-03-01 08:08:58,s.leroy,10.20.9.128,serveur_bi,connexion_reussie,succes
2026-03-01 08:09:12,p.garcia,10.20.1.203,portail_client,connexion_reussie,succes
2026-03-01 08:12:01,p.garcia,10.20.7.32,serveur_bi,connexion_reussie,succes
2026-03-01 08:13:31,e.blanc,10.20.8.219,plateforme_data,connexion_reussie,succes
2026-03-01 08:21:27,svc_batch,10.20.12.56,portail_client,connexion_reussie,succes
2026-03-01 08:22:22,p.garcia,10.20.12.58,portail_client,connexion_reussie,succes
2026-03-01 08:22:28,admin.sys,10.20.2.12,vpn,connexion_reussie,succes
2026-03-01 08:24:48,p.garcia,10.20.7.109,active_directory,export_donnees,succes
2026-03-01 08:24:54,j.morel,10.20.8.236,portail_client,connexion_reussie,succes
2026-03-01 08:29:25,n.faure,10.20.4.170,portail_client,connexion_reussie,succes
2026-03-01 08:36:53,svc_batch,10.20.6.100,vpn,connexion_reussie,succes
2026-03-01 08:38:37,l.henry,10.20.10.144,vpn,connexion_reussie,succes
2026-03-01 08:43:11,s.leroy,10.20.0.168,api_espace_client,connexion_reussie,succes
2026-03-01 08:43:54,j.morel,10.20.1.87,serveur_bi,connexion_reussie,succes
2026-03-01 08:44:36,n.faure,10.20.1.114,portail_client,connexion_reussie,succes
2026-03-01 08:45:28,prestataire_ext,10.20.0.60,plateforme_data,connexion_reussie,succes
2026-03-01 08:50:17,prestataire_ext,10.20.7.109,api_espace_client,connexion_reussie,succes
2026-03-01 08:51:00,t.robin,10.20.6.195,portail_client,connexion_reussie,succes
2026-03-01 08:51:43,j.morel,10.20.3.217,plateforme_data,connexion_reussie,succes
2026-03-01 08:52:08,a.bernard,10.20.3.110,active_directory,connexion_reussie,succes
2026-03-01 08:52:18,e.blanc,10.20.4.122,serveur_bi,connexion_reussie,succes
2026-03-01 08:54:08,f.petit,10.20.10.220,scada,connexion_echouee,echec
2026-03-01 08:54:38,s.leroy,10.20.11.170,scada,connexion_reussie,succes
2026-03-01 08:56:34,j.morel,10.20.10.13,api_espace_client,connexion_reussie,succes
2026-03-01 08:56:49,s.leroy,10.20.7.142,vpn,connexion_reussie,succes
2026-03-01 08:57:41,svc_batch,10.20.12.96,active_directory,connexion_reussie,succes
2026-03-01 08:59:28,p.garcia,10.20.7.5,scada,connexion_reussie,succes
2026-03-01 09:02:40,j.morel,10.20.7.237,api_espace_client,export_donnees,succes
2026-03-01 09:02:54,e.blanc,10.20.9.91,api_espace_client,connexion_reussie,succes
2026-03-01 09:04:25,l.henry,10.20.2.28,plateforme_data,export_donnees,succes
2026-03-01 09:06:25,n.faure,10.20.7.251,serveur_bi,connexion_reussie,succes
2026-03-01 09:08:45,prestataire_ext,10.20.5.229,serveur_bi,connexion_reussie,succes
2026-03-01 09:09:48,prestataire_ext,10.20.7.247,plateforme_data,connexion_reussie,succes
2026-03-01 09:10:20,prestataire_ext,10.20.9.170,serveur_bi,connexion_reussie,succes
2026-03-01 09:13:37,j.morel,10.20.5.72,serveur_bi,connexion_reussie,succes
2026-03-01 09:13:53,a.bernard,10.20.10.57,scada,connexion_reussie,succes
2026-03-01 09:15:49,s.leroy,10.20.3.101,api_espace_client,connexion_reussie,succes
2026-03-01 09:18:28,t.robin,10.20.0.162,api_espace_client,connexion_echouee,echec
2026-03-01 09:18:57,c.dubois,10.20.7.85,active_directory,connexion_reussie,succes
2026-03-01 09:19:10,e.blanc,10.20.2.90,active_directory,connexion_reussie,succes
2026-03-01 09:19:34,e.blanc,10.20.7.35,scada,modification_config,succes
2026-03-01 09:20:55,l.henry,10.20.11.248,api_espace_client,connexion_reussie,succes
2026-03-01 09:23:23,m.roux,10.20.0.217,scada,connexion_reussie,succes
2026-03-01 09:24:06,a.bernard,10.20.8.9,plateforme_data,connexion_reussie,succes
2026-03-01 09:32:06,prestataire_ext,10.20.0.17,active_directory,connexion_reussie,succes
2026-03-01 09:32:53,f.petit,10.20.10.70,serveur_bi,connexion_reussie,succes
2026-03-01 09:39:04,e.blanc,10.20.6.15,portail_client,connexion_reussie,succes
2026-03-01 09:43:07,s.leroy,10.20.1.153,portail_client,connexion_reussie,succes
2026-03-01 09:43:32,l.henry,10.20.2.194,active_directory,connexion_reussie,succes
2026-03-01 09:47:42,c.dubois,10.20.11.39,serveur_bi,connexion_reussie,succes
2026-03-01 09:50:48,n.faure,10.20.11.16,serveur_bi,connexion_reussie,succes
2026-03-01 09:52:17,m.roux,10.20.12.222,plateforme_data,connexion_reussie,succes
2026-03-01 09:56:23,s.leroy,10.20.12.253,serveur_bi,connexion_reussie,succes
2026-03-01 09:57:55,t.robin,10.20.8.228,serveur_bi,connexion_reussie,succes
2026-03-01 10:01:18,s.leroy,10.20.4.185,plateforme_data,connexion_echouee,echec
2026-03-01 10:01:47,p.garcia,10.20.11.154,portail_client,connexion_reussie,succes
2026-03-01 10:03:45,p.garcia,10.20.6.109,active_directory,connexion_reussie,succes
2026-03-01 10:06:18,p.garcia,10.20.9.131,serveur_bi,connexion_reussie,succes
2026-03-01 10:09:20,l.henry,10.20.4.226,scada,connexion_reussie,succes
2026-03-01 10:09:40,m.roux,10.20.0.189,api_espace_client,connexion_reussie,succes
2026-03-01 10:10:46,a.bernard,10.20.8.247,active_directory,connexion_reussie,succes
2026-03-01 10:11:52,s.leroy,10.20.3.202,api_espace_client,connexion_reussie,succes
2026-03-01 10:12:02,t.robin,10.20.11.253,active_directory,connexion_reussie,succes
2026-03-01 10:15:53,l.henry,10.20.5.79,api_espace_client,connexion_reussie,succes
2026-03-01 10:15:56,f.petit,10.20.10.29,vpn,connexion_echouee,echec
2026-03-01 10:19:55,p.garcia,10.20.6.76,serveur_bi,connexion_echouee,echec
2026-03-01 10:21:40,t.robin,10.20.2.216,scada,connexion_reussie,succes
2026-03-01 10:21:41,e.blanc,10.20.1.176,portail_client,connexion_reussie,succes
2026-03-01 10:22:00,s.leroy,10.20.10.101,serveur_bi,connexion_reussie,succes
2026-03-01 10:22:25,n.faure,10.20.1.29,scada,connexion_reussie,succes
2026-03-01 10:22:56,p.garcia,10.20.11.94,plateforme_data,connexion_reussie,succes
2026-03-01 10:25:50,a.bernard,10.20.12.249,portail_client,connexion_reussie,succes
2026-03-01 10:27:34,admin.sys,10.20.7.98,scada,connexion_reussie,succes
2026-03-01 10:28:22,a.bernard,10.20.12.199,portail_client,connexion_reussie,succes
2026-03-01 10:29:29,admin.sys,10.20.11.205,vpn,connexion_reussie,succes
2026-03-01 10:31:06,a.bernard,10.20.2.29,serveur_bi,connexion_reussie,succes
2026-03-01 10:34:22,s.leroy,10.20.7.219,api_espace_client,connexion_reussie,succes
2026-03-01 10:35:18,a.bernard,10.20.3.238,active_directory,modification_config,succes
2026-03-01 10:35:31,n.faure,10.20.4.207,serveur_bi,connexion_reussie,succes
2026-03-01 10:35:55,c.dubois,10.20.2.136,api_espace_client,connexion_reussie,succes
2026-03-01 10:39:07,a.bernard,10.20.6.121,plateforme_data,connexion_reussie,succes
2026-03-01 10:42:00,svc_batch,10.20.7.11,scada,connexion_reussie,succes
2026-03-01 10:45:57,prestataire_ext,10.20.8.49,portail_client,connexion_reussie,succes
2026-03-01 10:47:01,m.roux,10.20.7.56,active_directory,connexion_reussie,succes
2026-03-01 10:47:36,f.petit,10.20.10.85,serveur_bi,connexion_echouee,echec
2026-03-01 10:48:47,p.garcia,10.20.9.197,serveur_bi,connexion_reussie,succes
2026-03-01 10:49:30,c.dubois,10.20.7.71,scada,connexion_reussie,succes
2026-03-01 10:52:29,svc_batch,10.20.9.247,vpn,connexion_reussie,succes
2026-03-01 10:54:23,t.robin,10.20.3.137,active_directory,connexion_reussie,succes
2026-03-01 10:54:24,admin.sys,10.20.5.15,vpn,connexion_reussie,succes
2026-03-01 10:56:49,c.dubois,10.20.8.130,portail_client,connexion_reussie,succes
2026-03-01 11:00:11,c.dubois,10.20.2.116,serveur_bi,connexion_reussie,succes
2026-03-01 11:04:25,admin.sys,10.20.7.32,plateforme_data,connexion_reussie,succes
2026-03-01 11:05:36,t.robin,10.20.3.212,scada,connexion_reussie,succes
2026-03-01 11:07:57,j.morel,10.20.9.230,api_espace_client,connexion_reussie,succes
2026-03-01 11:08:18,prestataire_ext,10.20.5.226,active_directory,connexion_reussie,succes
2026-03-01 11:08:52,c.dubois,10.20.3.165,portail_client,connexion_reussie,succes
2026-03-01 11:09:29,p.garcia,10.20.8.252,scada,connexion_reussie,succes
2026-03-01 11:11:44,prestataire_ext,10.20.10.81,plateforme_data,connexion_reussie,succes
2026-03-01 11:13:22,m.roux,10.20.10.97,api_espace_client,connexion_reussie,succes
2026-03-01 11:13:31,f.petit,10.20.9.217,vpn,connexion_reussie,succes
2026-03-01 11:13:54,j.morel,10.20.7.120,serveur_bi,connexion_reussie,succes
2026-03-01 11:14:56,e.blanc,10.20.12.133,plateforme_data,connexion_reussie,succes
2026-03-01 11:15:20,m.roux,10.20.0.174,vpn,connexion_echouee,echec
2026-03-01 11:16:30,p.garcia,10.20.6.182,scada,connexion_reussie,succes
2026-03-01 11:16:55,j.morel,10.20.12.230,scada,connexion_reussie,succes
2026-03-01 11:17:36,prestataire_ext,10.20.1.210,serveur_bi,connexion_reussie,succes
2026-03-01 11:18:42,a.bernard,10.20.8.231,vpn,connexion_reussie,succes
2026-03-01 11:19:20,j.morel,10.20.9.119,scada,connexion_reussie,succes
2026-03-01 11:20:04,m.roux,10.20.8.67,serveur_bi,connexion_reussie,succes
2026-03-01 11:21:11,svc_batch,10.20.0.53,vpn,connexion_reussie,succes
2026-03-01 11:21:42,f.petit,10.20.11.69,portail_client,connexion_reussie,succes
2026-03-01 11:21:48,l.henry,10.20.4.238,active_directory,connexion_reussie,succes
2026-03-01 11:25:01,svc_batch,10.20.5.219,scada,connexion_reussie,succes
2026-03-01 11:25:25,l.henry,10.20.9.244,serveur_bi,connexion_reussie,succes
2026-03-01 11:25:26,t.robin,10.20.8.16,portail_client,connexion_reussie,succes
2026-03-01 11:26:43,e.blanc,10.20.5.217,scada,connexion_reussie,succes
2026-03-01 11:26:54,f.petit,10.20.3.78,scada,connexion_reussie,succes
2026-03-01 11:29:06,a.bernard,10.20.2.85,scada,connexion_reussie,succes
2026-03-01 11:29:12,a.bernard,10.20.12.207,active_directory,connexion_reussie,succes
2026-03-01 11:29:51,c.dubois,10.20.3.92,active_directory,connexion_reussie,succes
2026-03-01 11:30:00,t.robin,10.20.9.170,serveur_bi,connexion_reussie,succes
2026-03-01 11:31:40,svc_batch,10.20.12.73,active_directory,connexion_reussie,succes
2026-03-01 11:31:47,svc_batch,10.20.7.4,scada,connexion_reussie,succes
2026-03-01 11:32:37,admin.sys,10.20.8.22,scada,connexion_reussie,succes
2026-03-01 11:33:04,t.robin,10.20.6.73,active_directory,connexion_reussie,succes
2026-03-01 11:34:09,e.blanc,10.20.1.72,api_espace_client,connexion_reussie,succes
2026-03-01 11:36:26,a.bernard,10.20.9.227,scada,connexion_reussie,succes
2026-03-01 11:38:32,m.roux,10.20.10.74,plateforme_data,connexion_reussie,succes
2026-03-01 11:41:13,p.garcia,10.20.9.79,serveur_bi,connexion_reussie,succes
2026-03-01 11:44:11,p.garcia,10.20.9.240,vpn,connexion_echouee,echec
2026-03-01 11:44:21,l.henry,10.20.6.231,active_directory,connexion_reussie,succes
2026-03-01 11:46:51,n.faure,10.20.3.118,api_espace_client,connexion_reussie,succes
2026-03-01 11:49:21,t.robin,10.20.7.153,api_espace_client,connexion_reussie,succes
2026-03-01 11:49:52,svc_batch,10.20.0.19,api_espace_client,connexion_reussie,succes
2026-03-01 11:49:57,n.faure,10.20.8.117,api_espace_client,connexion_reussie,succes
2026-03-01 11:53:11,svc_batch,10.20.0.252,active_directory,connexion_reussie,succes
2026-03-01 11:54:23,j.morel,10.20.9.87,portail_client,connexion_reussie,succes
2026-03-01 11:55:20,a.bernard,10.20.2.209,portail_client,connexion_reussie,succes
2026-03-01 11:56:33,admin.sys,10.20.12.159,serveur_bi,connexion_echouee,echec
2026-03-01 11:58:11,prestataire_ext,10.20.6.235,active_directory,connexion_reussie,succes
2026-03-01 11:59:00,j.morel,10.20.6.13,api_espace_client,connexion_echouee,echec
2026-03-01 12:00:21,s.leroy,10.20.10.11,vpn,connexion_reussie,succes
2026-03-01 12:02:43,l.henry,10.20.9.185,serveur_bi,export_donnees,succes
2026-03-01 12:06:17,e.blanc,10.20.1.218,portail_client,connexion_reussie,succes
2026-03-01 12:06:36,c.dubois,10.20.4.118,active_directory,export_donnees,succes
2026-03-01 12:09:02,j.morel,10.20.10.159,api_espace_client,connexion_reussie,succes
2026-03-01 12:12:31,m.roux,10.20.7.254,portail_client,acces_refuse,echec
2026-03-01 12:12:42,t.robin,10.20.0.207,serveur_bi,connexion_reussie,succes
2026-03-01 12:14:38,prestataire_ext,10.20.8.117,portail_client,connexion_echouee,echec
2026-03-01 12:14:40,m.roux,10.20.11.123,scada,connexion_reussie,succes
2026-03-01 12:16:09,n.faure,10.20.9.96,active_directory,connexion_reussie,succes
2026-03-01 12:17:52,prestataire_ext,10.20.2.130,serveur_bi,connexion_reussie,succes
2026-03-01 12:19:54,p.garcia,10.20.0.16,active_directory,export_donnees,succes
2026-03-01 12:21:34,admin.sys,10.20.7.79,plateforme_data,connexion_reussie,succes
2026-03-01 12:21:49,f.petit,10.20.10.135,scada,connexion_echouee,echec
2026-03-01 12:26:27,t.robin,10.20.4.184,portail_client,connexion_reussie,succes
2026-03-01 12:28:41,svc_batch,10.20.1.209,plateforme_data,connexion_reussie,succes
2026-03-01 12:29:12,f.petit,10.20.8.206,active_directory,connexion_reussie,succes
2026-03-01 12:30:50,svc_batch,10.20.6.242,active_directory,connexion_reussie,succes
2026-03-01 12:30:52,t.robin,10.20.2.115,api_espace_client,connexion_reussie,succes
2026-03-01 12:31:09,s.leroy,10.20.12.184,serveur_bi,connexion_reussie,succes
2026-03-01 12:31:44,svc_batch,10.20.2.105,portail_client,connexion_reussie,succes
2026-03-01 12:31:50,prestataire_ext,10.20.9.167,vpn,connexion_echouee,echec
2026-03-01 12:33:43,n.faure,10.20.11.254,plateforme_data,connexion_reussie,succes
2026-03-01 12:35:28,prestataire_ext,10.20.2.89,serveur_bi,connexion_reussie,succes
2026-03-01 12:35:46,n.faure,10.20.0.66,active_directory,connexion_reussie,succes
2026-03-01 12:36:17,j.morel,10.20.1.19,serveur_bi,connexion_reussie,succes
2026-03-01 12:38:21,e.blanc,10.20.9.52,vpn,connexion_reussie,succes
2026-03-01 12:41:34,svc_batch,10.20.0.86,api_espace_client,connexion_reussie,succes
2026-03-01 12:43:48,svc_batch,10.20.3.141,active_directory,modification_config,succes
2026-03-01 12:43:56,l.henry,10.20.4.98,serveur_bi,connexion_reussie,succes
2026-03-01 12:45:15,a.bernard,10.20.5.36,vpn,connexion_reussie,succes
2026-03-01 12:46:16,svc_batch,10.20.4.17,vpn,connexion_reussie,succes
2026-03-01 12:47:26,a.bernard,10.20.7.3,portail_client,connexion_reussie,succes
2026-03-01 12:47:26,admin.sys,10.20.5.59,active_directory,connexion_reussie,succes
2026-03-01 12:47:41,n.faure,10.20.6.249,portail_client,connexion_reussie,succes
2026-03-01 12:48:50,m.roux,10.20.12.6,portail_client,connexion_reussie,succes
2026-03-01 12:49:02,e.blanc,10.20.12.130,scada,connexion_reussie,succes
2026-03-01 12:49:31,c.dubois,10.20.5.57,active_directory,connexion_reussie,succes
2026-03-01 12:52:48,f.petit,10.20.4.133,scada,connexion_reussie,succes
2026-03-01 12:52:59,j.morel,10.20.10.106,active_directory,connexion_reussie,succes
2026-03-01 12:54:21,prestataire_ext,10.20.11.169,plateforme_data,connexion_reussie,succes
2026-03-01 12:54:37,m.roux,10.20.0.72,scada,connexion_reussie,succes
2026-03-01 13:01:22,admin.sys,10.20.12.131,portail_client,connexion_reussie,succes
2026-03-01 13:01:59,admin.sys,10.20.3.60,active_directory,connexion_reussie,succes
2026-03-01 13:04:09,m.roux,10.20.9.106,vpn,connexion_reussie,succes
2026-03-01 13:07:29,m.roux,10.20.1.240,api_espace_client,modification_config,succes
2026-03-01 13:09:36,l.henry,10.20.8.107,api_espace_client,connexion_echouee,echec
2026-03-01 13:10:24,a.bernard,10.20.8.23,active_directory,modification_config,succes
2026-03-01 13:10:53,e.blanc,10.20.8.160,scada,connexion_reussie,succes
2026-03-01 13:11:22,s.leroy,10.20.6.229,serveur_bi,connexion_reussie,succes
2026-03-01 13:13:11,svc_batch,10.20.1.237,vpn,connexion_reussie,succes
2026-03-01 13:14:53,s.leroy,10.20.3.27,plateforme_data,connexion_reussie,succes
2026-03-01 13:15:43,s.leroy,10.20.2.201,scada,connexion_reussie,succes
2026-03-01 13:16:00,t.robin,10.20.5.105,vpn,connexion_reussie,succes
2026-03-01 13:16:10,s.leroy,10.20.8.12,vpn,connexion_echouee,echec
2026-03-01 13:17:57,n.faure,10.20.11.104,portail_client,connexion_reussie,succes
2026-03-01 13:18:25,svc_batch,10.20.11.33,api_espace_client,connexion_reussie,succes
2026-03-01 13:19:57,prestataire_ext,10.20.5.25,plateforme_data,connexion_reussie,succes
2026-03-01 13:20:21,prestataire_ext,10.20.12.131,vpn,connexion_reussie,succes
2026-03-01 13:21:06,admin.sys,10.20.6.47,plateforme_data,connexion_reussie,succes
2026-03-01 13:23:46,svc_batch,10.20.4.178,serveur_bi,connexion_reussie,succes
2026-03-01 13:24:20,m.roux,10.20.7.98,portail_client,connexion_reussie,succes
2026-03-01 13:29:31,s.leroy,10.20.8.15,scada,connexion_reussie,succes
2026-03-01 13:31:50,prestataire_ext,10.20.5.157,portail_client,connexion_reussie,succes
2026-03-01 13:33:12,n.faure,10.20.7.3,plateforme_data,connexion_reussie,succes
2026-03-01 13:35:25,a.bernard,10.20.8.60,scada,connexion_reussie,succes
2026-03-01 13:37:40,a.bernard,10.20.0.141,scada,connexion_echouee,echec
2026-03-01 13:38:49,e.blanc,10.20.4.128,active_directory,connexion_reussie,succes
2026-03-01 13:40:56,e.blanc,10.20.12.140,scada,connexion_reussie,succes
2026-03-01 13:41:36,p.garcia,10.20.5.174,api_espace_client,connexion_reussie,succes
2026-03-01 13:42:16,s.leroy,10.20.2.4,serveur_bi,connexion_reussie,succes
2026-03-01 13:44:28,s.leroy,10.20.12.198,serveur_bi,connexion_reussie,succes
2026-03-01 13:44:49,j.morel,10.20.12.216,scada,connexion_reussie,succes
2026-03-01 13:45:10,p.garcia,10.20.0.69,scada,connexion_reussie,succes
2026-03-01 13:45:31,p.garcia,10.20.7.183,plateforme_data,connexion_reussie,succes
2026-03-01 13:50:39,a.bernard,10.20.0.181,plateforme_data,connexion_reussie,succes
2026-03-01 13:50:59,n.faure,10.20.9.193,serveur_bi,connexion_reussie,succes
2026-03-01 13:53:02,f.petit,10.20.6.35,scada,connexion_reussie,succes
2026-03-01 13:53:14,a.bernard,10.20.2.179,serveur_bi,connexion_reussie,succes
2026-03-01 13:53:18,admin.sys,10.20.4.192,api_espace_client,connexion_reussie,succes
2026-03-01 13:55:15,svc_batch,10.20.5.109,portail_client,connexion_reussie,succes
2026-03-01 13:55:18,t.robin,10.20.8.9,vpn,connexion_reussie,succes
2026-03-01 13:58:44,t.robin,10.20.5.102,serveur_bi,connexion_reussie,succes
2026-03-01 13:59:57,t.robin,10.20.12.249,portail_client,connexion_reussie,succes
2026-03-01 14:00:01,admin.sys,10.20.12.21,serveur_bi,connexion_reussie,succes
2026-03-01 14:00:41,n.faure,10.20.9.39,active_directory,acces_refuse,echec
2026-03-01 14:00:52,l.henry,10.20.6.65,plateforme_data,connexion_reussie,succes
2026-03-01 14:03:18,c.dubois,10.20.5.93,serveur_bi,connexion_reussie,succes
2026-03-01 14:03:22,prestataire_ext,10.20.1.146,active_directory,connexion_reussie,succes
2026-03-01 14:04:17,j.morel,10.20.3.7,portail_client,connexion_reussie,succes
2026-03-01 14:06:02,f.petit,10.20.0.142,scada,connexion_reussie,succes
2026-03-01 14:06:36,f.petit,10.20.5.252,serveur_bi,connexion_reussie,succes
2026-03-01 14:08:25,l.henry,10.20.7.107,portail_client,connexion_reussie,succes
2026-03-01 14:09:11,prestataire_ext,10.20.6.239,api_espace_client,connexion_reussie,succes
2026-03-01 14:09:47,admin.sys,10.20.7.101,scada,connexion_reussie,succes
2026-03-01 14:10:14,e.blanc,10.20.8.42,api_espace_client,connexion_reussie,succes
2026-03-01 14:10:38,c.dubois,10.20.5.159,active_directory,connexion_reussie,succes
2026-03-01 14:13:12,j.morel,10.20.0.98,vpn,connexion_reussie,succes
2026-03-01 14:15:23,a.bernard,10.20.0.96,vpn,connexion_reussie,succes
2026-03-01 14:15:33,admin.sys,10.20.7.243,active_directory,connexion_reussie,succes
2026-03-01 14:16:03,a.bernard,10.20.9.162,scada,connexion_reussie,succes
2026-03-01 14:17:12,m.roux,10.20.3.81,api_espace_client,connexion_reussie,succes
2026-03-01 14:18:42,c.dubois,10.20.5.203,active_directory,connexion_reussie,succes
