date,zone,temp_moyenne_c,temp_min_c,temp_max_c
2025-01-09,Val-Nord,4.93,-2.07,11.28
2025-01-10,Val-Nord,4.59,-0.16,10.1
2025-01-11,Val-Nord,3.61,0.46,9.68
2025-01-12,Val-Nord,3.3,-1.12,6.26
2025-01-13,Val-Nord,3.16,-0.48,9.67
2025-01-14,Val-Nord,-2.03,-6.01,2.2
2025-01-15,Val-Nord,-1.02,-8.1,4.82
2025-01-16,Val-Nord,3.76,-1.92,9.58
2025-01-17,Val-Nord,0.06,-6.87,3.78
2025-01-18,Val-Nord,6.5,4.83,12.27
2025-01-19,Val-Nord,-2.06,-4.32,7.22
2025-01-20,Val-Nord,0.25,-2.73,6.84
2025-01-21,Val-Nord,4.12,-3.33,10.39
2025-01-22,Val-Nord,4.83,-1.04,11.18
2025-01-23,Val-Nord,5.26,1.77,12.51
2025-01-24,Val-Nord,3.09,-2.09,7.05
2025-01-25,Val-Nord,6.0,-0.16,7.39
2025-01-26,Val-Nord,5.1,1.26,13.27
2025-01-27,Val-Nord,5.37,-0.19,9.1
2025-01-28,Val-Nord,1.93,-2.34,6.71
2025-01-29,Val-Nord,1.0,-1.17,8.6
2025-01-30,Val-Nord,1.85,-3.17,6.35
2025-01-31,Val-Nord,4.26,0.57,7.25
2025-02-01,Val-Nord,3.55,1.42,5.59
2025-02-02,Val-Nord,3.49,0.62,7.71
2025-02-03,Val-Nord,5.01,-1.84,8.25
2025-02-04,Val-Nord,5.24,1.07,11.03
2025-02-05,Val-Nord,0.05,-4.33,3.07
2025-02-06,Val-Nord,5.14,0.3,9.21
2025-02-07,Val-Nord,6.5,4.08,11.16
2025-02-08,Val-Nord,0.52,-2.66,3.64
2025-02-09,Val-Nord,4.92,0.63,10.22
2025-02-10,Val-Nord,6.55,1.58,9.54
2025-02-11,Val-Nord,7.76,2.99,10.94
2025-02-12,Val-Nord,5.35,4.24,11.08
2025-02-13,Val-Nord,5.3,4.5,10.72
2025-02-14,Val-Nord,6.29,3.37,11.43
2025-02-15,Val-Nord,3.48,-2.39,6.14
2025-02-16,Val-Nord,3.13,-1.97,9.97
2025-02-17,Val-Nord,3.85,2.37,13.0
2025-02-18,Val-Nord,8.01,2.35,10.38
2025-02-19,Val-Nord,2.75,-3.36,9.38
2025-02-20,Val-Nord,5.66,3.31,10.1
2025-02-21,Val-Nord,6.98,3.92,11.51
2025-02-22,Val-Nord,8.6,4.87,13.23
2025-02-23,Val-Nord,6.02,1.66,13.71
2025-02-24,Val-Nord,5.33,3.35,12.54
2025-02-25,Val-Nord,4.49,0.8,4.72
2025-02-26,Val-Nord,6.7,3.96,13.35
2025-02-27,Val-Nord,6.82,2.84,11.75
2025-02-28,Val-Nord,5.79,3.23,13.61
2025-03-01,Val-Nord,5.73,0.4,8.72
2025-03-02,Val-Nord,6.96,4.27,12.73
2025-03-03,Val-Nord,5.22,1.87,13.07
2025-03-04,Val-Nord,6.52,3.83,12.21
2025-03-05,Val-Nord,5.45,1.26,11.61
2025-03-06,Val-Nord,6.04,2.25,10.09
2025-03-07,Val-Nord,5.99,1.37,9.48
2025-03-08,Val-Nord,7.0,2.67,11.98
2025-03-09,Val-Nord,1.7,-1.49,7.77
2025-03-10,Val-Nord,9.7,3.71,17.61
2025-03-11,Val-Nord,8.04,5.99,14.35
2025-03-12,Val-Nord,4.54,4.41,6.72
2025-03-13,Val-Nord,5.21,2.1,10.51
2025-03-14,Val-Nord,4.3,0.96,9.71
2025-03-15,Val-Nord,4.16,0.28,8.34
2025-03-16,Val-Nord,3.94,-0.99,7.35
2025-03-17,Val-Nord,8.26,2.24,15.1
2025-03-18,Val-Nord,6.06,1.5,15.38
2025-03-19,Val-Nord,5.24,3.95,12.89
2025-03-20,Val-Nord,8.05,4.37,13.61
2025-03-21,Val-Nord,5.62,1.99,8.95
2025-03-22,Val-Nord,8.35,4.59,11.32
2025-03-23,Val-Nord,5.47,-1.0,12.58
2025-03-24,Val-Nord,12.05,9.26,14.99
2025-03-25,Val-Nord,7.88,2.44,15.8
2025-03-26,Val-Nord,6.14,-0.26,7.73
2025-03-27,Val-Nord,9.29,6.28,12.68
2025-03-28,Val-Nord,10.48,5.01,16.59
2025-03-29,Val-Nord,9.75,7.8,15.01
2025-03-30,Val-Nord,6.19,3.06,10.91
2025-03-31,Val-Nord,6.44,0.79,12.77
2025-04-01,Val-Nord,6.52,4.99,8.84
2025-04-02,Val-Nord,5.66,3.19,9.45
2025-04-03,Val-Nord,9.57,5.88,14.2
2025-04-04,Val-Nord,9.97,5.38,12.88
2025-04-05,Val-Nord,11.33,5.15,14.42
2025-04-06,Val-Nord,12.14,10.31,16.4
2025-04-07,Val-Nord,9.19,1.87,14.29
2025-04-08,Val-Nord,6.18,0.72,8.51
2025-04-09,Val-Nord,8.05,2.92,12.98
2025-04-10,Val-Nord,12.66,8.34,16.0
2025-04-11,Val-Nord,12.32,7.35,18.2
2025-04-12,Val-Nord,9.5,3.74,13.29
2025-04-13,Val-Nord,12.94,7.43,18.14
2025-04-14,Val-Nord,9.48,6.19,14.6
2025-04-15,Val-Nord,12.58,8.46,18.65
2025-04-16,Val-Nord,9.51,7.04,13.29
2025-04-17,Val-Nord,12.97,10.64,15.13
2025-04-18,Val-Nord,11.51,7.08,15.45
2025-04-19,Val-Nord,9.94,4.85,16.34
2025-04-20,Val-Nord,13.05,6.41,16.86
2025-04-21,Val-Nord,7.62,3.48,11.09
2025-04-22,Val-Nord,14.07,11.61,18.34
2025-04-23,Val-Nord,14.51,11.44,19.51
2025-04-24,Val-Nord,10.82,5.47,18.19
2025-04-25,Val-Nord,7.9,4.06,11.58
2025-04-26,Val-Nord,13.73,8.08,20.92
2025-04-27,Val-Nord,12.55,8.79,18.13
2025-04-28,Val-Nord,17.51,15.91,21.53
2025-04-29,Val-Nord,14.5,9.45,18.8
2025-04-30,Val-Nord,11.42,8.91,19.04
2025-05-01,Val-Nord,10.97,5.97,19.69
2025-05-02,Val-Nord,14.58,12.4,21.14
2025-05-03,Val-Nord,15.54,10.59,17.9
2025-05-04,Val-Nord,12.23,9.94,15.2
2025-05-05,Val-Nord,14.56,10.22,19.29
2025-05-06,Val-Nord,11.97,3.6,14.55
2025-05-07,Val-Nord,15.55,13.38,20.93
2025-05-08,Val-Nord,10.62,7.15,11.28
2025-05-09,Val-Nord,14.08,9.17,19.5
2025-05-10,Val-Nord,14.65,10.72,19.39
2025-05-11,Val-Nord,17.94,13.01,23.02
2025-05-12,Val-Nord,15.69,9.59,18.6
2025-05-13,Val-Nord,15.15,10.47,20.9
2025-05-14,Val-Nord,17.91,12.91,20.2
2025-05-15,Val-Nord,19.45,15.45,24.17
2025-05-16,Val-Nord,13.99,9.02,15.39
2025-05-17,Val-Nord,17.47,11.89,21.25
2025-05-18,Val-Nord,17.88,15.76,23.81
2025-05-19,Val-Nord,13.9,10.02,14.79
2025-05-20,Val-Nord,16.88,11.35,24.08
2025-05-21,Val-Nord,15.94,11.15,20.65
2025-05-22,Val-Nord,18.14,9.85,20.73
2025-05-23,Val-Nord,13.72,10.75,18.48
2025-05-24,Val-Nord,18.17,14.98,22.49
2025-05-25,Val-Nord,19.87,17.9,28.14
2025-05-26,Val-Nord,15.79,13.13,19.68
2025-05-27,Val-Nord,18.81,17.29,21.74
2025-05-28,Val-Nord,17.03,12.39,20.34
2025-05-29,Val-Nord,16.63,10.83,20.81
2025-05-30,Val-Nord,17.63,13.15,20.34
2025-05-31,Val-Nord,21.95,18.36,23.86
2025-06-01,Val-Nord,21.65,16.6,28.25
2025-06-02,Val-Nord,21.19,18.39,23.68
2025-06-03,Val-Nord,16.65,9.06,22.38
2025-06-04,Val-Nord,19.6,18.0,25.4
2025-06-05,Val-Nord,11.5,9.23,18.29
2025-06-06,Val-Nord,14.77,13.01,20.98
2025-06-07,Val-Nord,15.44,11.38,18.16
2025-06-08,Val-Nord,18.9,14.9,19.94
2025-06-09,Val-Nord,15.1,10.67,21.54
2025-06-10,Val-Nord,16.88,15.59,21.32
2025-06-11,Val-Nord,19.61,17.38,23.38
2025-06-12,Val-Nord,17.26,13.34,23.84
2025-06-13,Val-Nord,21.36,17.05,25.05
2025-06-14,Val-Nord,21.6,18.76,28.17
2025-06-15,Val-Nord,19.93,13.38,26.51
